mean_real,variance_real,skewness_real,kurtosis_real,mean_imag,variance_imag,skewness_imag,kurtosis_imag
0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1.7738614330303997,37.398003960011124,3.2706653216262302,11.0637075324275,0.004992859130492633,0.44252203437599485,0.04633233644556453,0.4817901492655534
0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1.7443522792812387,35.655710428192194,3.1930364454537243,10.369300737437378,-0.00035115286900477827,-0.038469489755424205,-0.007082280998492653,-0.0897080140037505
0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1.745240010759841,35.72865879314876,3.2012670661026696,10.456792434628856,2.7164153948433523e-05,0.0026547359384112633,0.0006381781669098942,0.008867414845293443
0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1.7452090026262024,35.725681570637605,3.200819196897288,10.451977170093802,3.7325747825889266e-06,-0.00022879861668682194,-4.12629694922208e-05,-0.0008706962291515765
0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1.7452101048741397,35.72578835029934,3.2008097008460754,10.490770937350126,5.142462100593548e-06,-3.853946104063249e-05,0.00012439500846275016,-0.006144012572448781
0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
1.7452100853347474,35.7254067626894,3.21219624286814,-121.22131330319135,4.999503744329559e-06,2.79288694324147e-05,-0.05228999604065604,-9.385631123461783
