tlist,tr,mag,coh,energy,overlap_target,overlap_instant
0.0,1.0,0.0,0.0,0.25,0.5,0.5
0.01,0.9999998409085202,1.1234624341938115e-11,7.154094347687118e-10,0.2530218334617083,0.49999992044864283,0.4999999201155053
0.02,0.9999996721400012,3.930995529088932e-10,1.838633667392639e-09,0.26208239115924326,0.4999998358734508,0.4999998352600929
0.03,0.9999994597951725,3.1747298678830305e-09,-4.319517690825469e-09,0.2771691963725789,0.4999997283102213,0.49999973246220547
0.04,0.9999992177739332,1.4504028478246056e-08,-3.5925701691664745e-08,0.29826339670635915,0.49999960163495233,0.4999996282540141
0.05,0.9999989603917314,4.838619022118351e-08,-1.268376678693876e-07,0.3253403746002248,0.4999994560027706,0.4999995480477464
0.06,0.9999987014820713,1.3181491409497426e-07,-3.328989234320651e-07,0.35837032086466497,0.4999992848335786,0.49999952954774096
0.07,0.9999984536149293,3.111045036585658e-07,-7.374992553228321e-07,0.3973187092216574,0.49999907125521287,0.49999962614428806
0.08,0.9999982274673505,6.588351341707543e-07,-1.4542528350924853e-06,0.44214663460626175,0.49999878431610817,0.4999999092388604
0.09,0.9999980313696752,1.2804240558383917e-06,-2.6247677067219315e-06,0.49281099354248514,0.4999983754728097,0.5000004685131232
0.1,0.999997871037837,2.3190339670242643e-06,-4.410038656369648e-06,0.5492645009701659,0.499997776001935,0.500001409492197
0.11,0.9999977494897595,3.957413200583737e-06,-6.974899718319378e-06,0.6114555531827133,0.49999689603827946,0.5000028482799966
0.12,0.9999976671328041,6.41538743134662e-06,-1.0466079853175399e-05,0.6793279599063982,0.49999562587268637,0.5000049038887214
0.13,0.9999976220000317,9.942105376137267e-06,-1.4985542708701299e-05,0.7528205790974156,0.49999383994732777,0.5000076889554133
0.14,0.9999976101061179,1.4802753208031927e-05,-2.0561781717545186e-05,0.8318668951061481,0.49999140367645495,0.5000112997290996
0.15,0.9999976258893273,2.126022506637737e-05,-2.7122428831555114e-05,0.9163945841073585,0.4999881828321305,0.5000158060612587
0.16,0.9999976627040266,2.9553069488263972e-05,-3.447180479956194e-05,1.0063251100749049,0.49998405481726915,0.500021241897193
0.17,0.9999977133286828,3.987180595893536e-05,-4.227683405560472e-05,1.1015733903417326,0.4999789207613619,0.5000275966254625
0.18,0.9999977704568654,5.2336303475231105e-05,-5.006407520209591e-05,1.2020475624522988,0.4999727170766951,0.5000348077024009
0.19,0.9999978271431136,6.697723170251413e-05,-5.722954870910599e-05,1.307648874332058,0.49996542495570556,0.5000427552200567
0.2,0.9999978771811484,8.372456372668369e-05,-6.306169996019646e-05,1.4182717086787004,0.49995707630871083,0.5000512594208018
0.21,0.9999979153983681,0.00010240569810060496,-6.677637822376539e-05,1.5338037409258283,0.49994775485013376,0.5000600824188314
0.22,0.9999979378573443,0.0001227549948492057,-6.75613166948152e-05,1.654126219156167,0.49993759143124755,0.5000689354045512
0.23,0.9999979419616862,0.00014443544986481038,-6.46264350733543e-05,1.7791143448908875,0.4999267532559107,0.5000774922683264
0.24,0.9999979264697711,0.00016707196943843705,-5.7255495708602983e-05,1.9086377265454395,0.49991542725016636,0.5000854098637664
0.25,0.9999978914251069,0.00019029438467271786,-4.485432261346987e-05,2.042560873090508,0.4999037985202171,0.5000923541300538
0.26,0.9999978380162511,0.0002137871103668476,-2.6990977238034635e-05,2.1807436943855416,0.49989202545294215,0.5000980301972241
0.27,0.9999977683821539,0.00023734134695763132,-3.4239511614340255e-06,2.32304197675255,0.49988021351759815,0.5001022136399286
0.28,0.9999976853804191,0.0002609050686706582,2.588449927718171e-05,2.4693078073102166,0.4998683901558742,0.5001047794290974
0.29,0.9999975923363713,0.00028462582265037506,6.077141809187418e-05,2.619389927788489,0.49985648325686044,0.5001057249807986
0.3,0.9999974927900601,0.00030888162359493654,0.00010089271401602645,2.773134007154937,0.4998443055832326,0.5001051840401154
0.31,0.9999973902566273,0.0003342959571696613,0.0001457579398899732,2.930382831419833,0.4998315471497288,0.5001034288989623
0.32,0.9999972880129977,0.0003617340449479367,0.00019477782982653058,3.0909764174113334,0.4998177769840249,0.5001008595064091
0.33,0.9999971889208763,0.00039227897291094216,0.00024732129112080455,3.2547520641578567,0.4998024549739827,0.5000979792387805
0.34,0.9999970952928107,0.0004271879130061107,0.00030277809420637194,3.4215443599988737,0.4997849536899023,0.5000953583066431
0.35000000000000003,0.9999970088047787,0.0004678303252230731,0.00036062344740598435,3.5911851651755935,0.4997645892397778,0.5000935868591742
0.36,0.9999969304556477,0.0005156115689131657,0.0004204809295450707,3.7635035883090016,0.49974065944336726,0.5000932207081525
0.37,0.9999968605710574,0.0005718866456368432,0.0004821807793262436,3.9383259711450838,0.49971248696271026,0.5000947231776728
0.38,0.9999967988469189,0.000637869739659902,0.0005458111716946583,4.115475889929151,0.4996794645536295,0.5000984068753871
0.39,0.999996744425918,0.000714545752131035,0.000611760708096974,4.294774174790878,0.4996410993368935,0.5001043791964065
0.4,0.99999669599914,0.0008025901174535943,0.0006807507901805008,4.476038941819599,0.49959705294084317,0.5001124951583175
0.41000000000000003,0.9999966519242642,0.0009023028604094319,0.0007538567615462103,4.659085627366673,0.4995471745319274,0.5001223207852947
0.42,0.9999966103516172,0.0010135621461414557,0.0008325166804998578,4.843727011650421,0.4994915241027379,0.5001331097698576
