tlist,tr,mag,coh,energy,overlap_target,overlap_instant
0.0,1.0,0.0,0.0,0.25,0.5,0.5
0.01,0.9999998409064766,7.771561172376096e-16,1.8946340913565157e-09,0.2513432737244911,0.49999992045323793,0.4999999204631588
0.02,0.9999996721142078,6.661338147750939e-15,2.185705743116324e-08,0.25537258179452793,0.4999998360571006,0.49999983628597694
0.03,0.9999994596998858,7.510658761589184e-14,1.0458385067177016e-07,0.2620861459105967,0.4999997298499053,0.4999997314925096
0.04,0.9999992175494253,5.128120150743598e-13,3.322137499331974e-07,0.27148102089924003,0.49999960877445626,0.49999961573080276
0.05,0.9999989599857139,2.433386825373418e-12,8.275478809145989e-07,0.2835530836882175,0.49999947999164024,0.49999950164932677
0.06,0.9999987008795812,9.036216219726612e-12,1.7513929640443862e-06,0.2982970341177874,0.4999993504352725,0.4999994054297368
0.07,0.9999984528721982,2.8130719975649754e-11,3.29406319751747e-06,0.31570639598912453,0.49999922642203376,0.4999993470757515
0.08,0.999998226744282,7.667028123492514e-11,5.661387672451214e-06,0.33577351843659775,0.4999991133338058,0.4999993502766971
0.09,0.9999980309554382,1.8824458658528442e-10,9.055999567899768e-06,0.35848957781389545,0.4999990153835968,0.49999944169384597
0.1,0.9999978713646844,4.2463826899208357e-10,1.3655210759330846e-05,0.3838445803896458,0.4999989354700231,0.49999964957259624
0.11,0.9999977511314244,8.925416516980533e-10,1.958734110615681e-05,0.4118273662304159,0.4999988751194414,0.5000000016656118
0.12,0.9999976707855522,1.7662131757134603e-09,2.6908887498677563e-05,0.4424256146785095,0.49999883450966953,0.5000005225578602
0.13,0.9999976284464243,3.316242780382339e-09,3.558528318604088e-05,0.4756258517806218,0.4999988125650907,0.5000012306045312
0.14,0.9999976201635785,5.943449121748046e-09,4.5478117754912674e-05,0.5114134598702275,0.49999880711006467,0.5000021348122216
0.15,0.9999976403474578,1.0215414514291865e-08,5.634148963394466e-05,0.5497726892444132,0.4999988150660216,0.5000032320939469
0.16,0.999997682256095,1.690131828935293e-08,6.782960989451211e-05,0.5906866715170594,0.49999883267738837,0.5000045053898802
0.17,0.9999977385036598,2.699889284363266e-08,7.951687763161066e-05,0.6341374338100514,0.49999885575238345,0.5000059231507389
0.18,0.9999978015587097,4.174601470063877e-08,9.093046093176972e-05,0.6801059125202247,0.4999988799063475,0.5000074406172965
0.19,0.9999978642036726,6.260927193357801e-08,0.0001015940457154559,0.7285719650476984,0.4999989007972004,0.500009003193306
0.2,0.9999979199320768,9.12436370348324e-08,0.00011107999507385976,0.7795143776754819,0.4999989143442199,0.5000105520057067
0.21,0.999997963265957,1.2942181426556232e-07,0.00011906585230118315,0.8329108678313077,0.4999989169220714,0.5000120314909177
0.22,0.9999979899822491,1.7893949738612136e-07,0.00012539008297720726,0.8887380793023756,0.4999989055213758,0.5000133985642596
